N,k_htod,k_d2d,r_htod,r_d2d,T_htod_us,T_d2d_us,T_compute_htod_us,T_compute_d2d_us,T_ovl_htod_us,T_ovl_d2d_us,T_d2d_d2d_us,htod_over_d2d,ovl_htod_over_max,ovl_htod_over_sum,htod_verdict,ovl_d2d_over_max,ovl_d2d_over_sum,d2d_verdict,dd_over_max,dd_over_sum,dd_verdict,pair_relation,observed_constraint,extra_hb,r_unbalance
4194304,32,1,0.544,1.039,670.1,17.9,364.8,18.6,738.2,28.1,58.1,37.436,1.102,0.713,parallel,1.511,0.770,mixed,3.246,1.623,serial,serial,copy_engine_contention,not-applicable,0
16777216,49,2,1.281,1.096,2659.3,108.1,3406.1,118.5,3481.3,339.5,249.3,24.600,1.022,0.574,parallel,2.865,1.498,serial,2.306,1.153,serial,serial,copy_engine_contention,not-applicable,0
67108864,20,1,1.093,0.996,10610.5,547.3,11601.9,545.2,11921.4,1132.0,1132.9,19.387,1.028,0.537,parallel,2.068,1.036,serial,2.070,1.035,serial,serial,copy_engine_contention,not-applicable,0
