git_commit,timestamp,gpu_model,gpu_memory,driver_version,cuda_runtime,nvcc_version,clock_state,power_mode,case,N,k,provisioned,warmup,reps,statistic,latency_us,score3
3f9f443,2026-08-23T04:25:51Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,b,16777216,8,1,5,21,median,2700.4,128
3f9f443,2026-08-23T04:25:51Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,c,16777216,8,1,5,21,median,3137.5,163
3f9f443,2026-08-23T04:25:58Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,a,67108864,1,0,5,21,median,11486.2,130
3f9f443,2026-08-23T04:25:58Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,b,67108864,1,0,5,21,median,21890.0,128
3f9f443,2026-08-23T04:25:58Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,c,67108864,1,0,5,21,median,22261.9,163
3f9f443,2026-08-23T04:26:05Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,a,67108864,1,1,5,21,median,537.6,130
3f9f443,2026-08-23T04:26:05Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,b,67108864,1,1,5,21,median,10966.9,128
3f9f443,2026-08-23T04:26:05Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,c,67108864,1,1,5,21,median,11335.6,163
3f9f443,2026-08-23T04:26:12Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,a,67108864,8,0,5,21,median,15562.8,130
3f9f443,2026-08-23T04:26:12Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,b,67108864,8,0,5,21,median,21761.2,128
3f9f443,2026-08-23T04:26:12Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,c,67108864,8,0,5,21,median,25925.6,163
3f9f443,2026-08-23T04:26:18Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,a,67108864,8,1,5,21,median,4616.2,130
3f9f443,2026-08-23T04:26:18Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,b,67108864,8,1,5,21,median,10709.0,128
3f9f443,2026-08-23T04:26:18Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,c,67108864,8,1,5,21,median,15277.1,163
