N,k,tiles,r_tile,T_copy_us,T_compute_us,T_d1_us,T_d2_us,T_d3_us,T_d4_us,speedup_d2,speedup_d3,speedup_d4,ideal,T_ideal_pipe_us,sat_d4_over_d2
4194304,9,8,0.377,92.2,34.8,994.3,734.2,734.2,734.2,1.354,1.354,1.354,1.377,772.4,1.000
16777216,19,8,0.390,344.1,134.1,3759.0,2827.3,2826.2,2830.3,1.330,1.330,1.328,1.390,2886.9,1.001
67108864,35,8,0.542,1347.6,730.1,16448.5,11390.0,11422.7,11430.9,1.444,1.440,1.439,1.542,11510.9,1.004
